kod;name;category;price without wat
6100307;Dvere - pár, 793 x 18 x 1470 mm, azúrová;Variabilné regály KOMBI;39,00 €
6100253;Regál KOMBI, 6 políc, orech;Variabilné regály KOMBI;150,00 €
6100276;Dvere - pár, 793 x 18 x 2206 mm, čerešňa;Variabilné regály KOMBI;51,00 €
6100306;Dvere - pár, 793 x 18 x 1470 mm, oranžová;Variabilné regály KOMBI;39,00 €
6100243;Regál KOMBI, 4 police, orech;Variabilné regály KOMBI;107,00 €
6100272;Dvere - pár, 793 x 18 x 1838 mm, breza;Variabilné regály KOMBI;43,00 €
6100248;Regál KOMBI, 5 políc, orech;Variabilné regály KOMBI;128,00 €
6100249;Regál KOMBI, 6 políc, sivý;Variabilné regály KOMBI;150,00 €
6100283;Policová vložka, orech;Variabilné regály KOMBI;22,00 €
6100270;Dvere - pár, 793 x 18 x 1838 mm, buk;Variabilné regály KOMBI;43,00 €
6100240;Regál KOMBI, 4 police, buk;Variabilné regály KOMBI;107,00 €
6100275;Dvere - pár, 793 x 18 x 2206 mm, buk;Variabilné regály KOMBI;51,00 €
6100280;Policová vložka, buk;Variabilné regály KOMBI;22,00 €
6100233;Regál KOMBI, 2 police, orech;Variabilné regály KOMBI;64,00 €
6100239;Regál KOMBI, 4 police, sivý;Variabilné regály KOMBI;107,00 €
6100310;Dvere - pár, 793 x 18 x 1838 mm, azúrová;Variabilné regály KOMBI;43,00 €
6100263;Dvere - pár, 793 x 18 x 1102 mm, orech;Variabilné regály KOMBI;30,00 €
6100314;Dvere - pár, 793 x 18 x 2206 mm, zelená;Variabilné regály KOMBI;51,00 €
6100242;Regál KOMBI, 4 police, breza;Variabilné regály KOMBI;107,00 €
6100312;Dvere - pár, 793 x 18 x 2206 mm, oranžová;Variabilné regály KOMBI;51,00 €
6100277;Dvere - pár, 793 x 18 x 2206 mm, breza;Variabilné regály KOMBI;51,00 €
6100271;Dvere - pár, 793 x 18 x 1838 mm, čerešňa;Variabilné regály KOMBI;43,00 €
6100268;Dvere - pár, 793 x 18 x 1470 mm, orech;Variabilné regály KOMBI;39,00 €
6100281;Policová vložka, čerešňa;Variabilné regály KOMBI;22,00 €
6100279;Policová vložka, sivá;Variabilné regály KOMBI;22,00 €
